artist_id,artist_name,genres,followers
380fnmlGnkyueBMqGWx2k5,Joe Goddard,"electronica,indie soul,nu disco",98186
5RgzUZORebl59TcvCRZsD2,Zachi,"",5881
5tlNJfV9UIpgnbWmvUEFu7,Gentleman,"cologne hip hop,german hip hop,german reggae,reggae fusion",481599
6Yt4jPVBqhLFQcNM0dSZtq,Orchid Mantis,"chill dream pop,modern dream pop",43170
15DoyzRB8Y3fOIAOoZr3MV,Yaw Faso,"",357
6TV0LZ3BaEun0OQEh96elP,Jordan Smith,"deep talent show,idol",91028
0kUSlSS8seZidS03kFkUIT,Saad Al Fahad,jalsat,10877
3pFSlKAoVnaEycgIcPDctw,Chakra Efendi,chakra,5076
1lKTTkoqEttbG5Tdn9X8Jx,TrishaGrey,kenyan r&b,151
4LtA8H0WUekxMEMJV3Fdvd,Quinn Joshua,sleep,115
3XxNRirzbjfLdDli06zMaB,Eyedress,noise pop,1337812
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,"trap boricua,trap latino,trap triste,urbano latino",4534601
5SU9mZVaI9pRXgXmIhG1fL,Blackbird,"dutch indie,dutch pop",7189
0SGQMQQEypFWC2f4ei4nZe,Oumaima Taleb,khaliji,23851
609q0eLCXxneCVx3w6j6W5,Nyax,kenyan r&b,522
0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,"lilith,pop rock",460284
6jPUH69mRQVWQH6jdCfLDU,Zilla Oaks,"afro drill,alte,nigerian pop",4356
0nUF7iT0e6D5xEl743Jfu3,Icarus,"house,uk dance",49714
5ObQXIcqKtQENK14lQyqiy,Anuradha Sriram,filmi,1226362
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,"boy band,pop,post-teen pop,talent show",32619061
7miXLG9boDOGHJaEelSL7T,Andromedik,speedrun,24273
17LlecIqr0KpoiUMya3KEO,William Keats,background music,764
3Mn6d673ieRza7uw6zY2Zv,Hava,"frauenrap,german hip hop",343584
5wD0owYApRtYmjPWavWKvb,Giant Rooks,"",418423
6U5CUX0APXFzqcfpoXxEyb,Mikey Dam,nz pop,2937
6jJ0s89eD6GaHleKKya26X,Katy Perry,pop,28718175
5C5mVIHAEIbomEs6nsNWJ9,CVIRO,australian r&b,15851
6IKG997m7bF9OUAGkkdFtL,Goran Sveic,"",196
7GZJ2POiwPZoW7UVYjNj8i,Glockenbach,"",22419
6A6XOlnYgaiM9qfRvSIHQL,Devansh Tushar,atmosphere,5597
6GwgVH86t9xt98l4RSoMbP,Russel Jace,"",223
5j22qKj2lntnLumUiQd6Dw,Benjii,"",121
2UsrZRPk97l70i7PlXQ8hp,Justend,"",4230
2VF53usTu5Chbp1fmxjUeS,capespring.,"",993
4KFaYjtHWI85JjkeHWyaih,Adnan Joubran,"arab folk,oud",6372
2zazWAnmtbQWG501SsqsU0,Hawa Dafi,"",5573
6KMc22ewdnaUlXvuijYVaV,Dalkhan Panova,"",213
1O8j2yoItrx52KzYSdAlrt,Nick Souza,"",349
2BTS8Np1YzPQuXjgdlqsBB,Emanero,"argentine hip hop,rap conciencia,rap underground argentino",102904
7KoToKBUpived2ez8gxKT1,Prescient Liquids,sleep,161
4xV6q5fDx5Mx73IZEugzHF,Adham Seliman,"arab pop,egyptian alternative,egyptian pop",316332
72Pauuctba5lMzC89R0Vk0,Vintage Trouble,modern blues rock,123371
1DCmbXFQ1MufTW5IZG3etK,De Moi,ambient guitar,2206
4ftrhn6reSyzhgXgCYb9qs,Flomine,moroccan pop,629
5SwsSD9zyWaWeVyK9qIW9l,Lord Siva,"danish hip hop,danish pop",35197
6T5tfhQCknKG4UnH90qGnz,DNCE,"dance pop,pop",4568936
5wCmhq5J2hPwL2r0eKurxn,cassö,"",1340
1e7K8jD3wRuQfnwDAOeGqe,Fiji Blue,chill pop,250852
2rEVnwCPBeGkWMv425KoG1,AYLIVA,german pop,706476
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,"deep euro house,deep house,edm,german dance,pop dance,tropical house",3092535
30Y7JOpiNgAGEhnkYPdI1P,Talvin Singh,"indian fusion,world fusion",55096
3TFBKKjm1zzgBCOQi2SEGY,Maria Marcus,"",624
619CzMJPPWrCeZwx5qw6ko,Besomorph,"alt z,dark r&b,slap house,traprun",112680
1swCRrKnEzyg4wMnKdXjC0,Maya Wilkes,background piano,309
7LIerH0gT1AvTtmxx7xQp8,Soliaga,"",52
5xkAtLTf309LAGZTbvULBn,Ruel,"alt z,australian alternative pop,pop",1910038
3GQboECxDT1xqPPWC30p7v,Charlotte Day Wilson,"alternative r&b,canadian contemporary r&b,indie soul",231930
2rp7t72puDdjCwrA3WjJOk,Noel James,"",525
0UZ1nu3kcdNlCoiKRjmSSY,Peking Duk,"aussietronica,australian electropop,edm",239734
3NzhVoa20crNtp1p4zE8um,Mano,filmi,1543309
3UVRliakQfa1pMWIsNuiZ8,Musiq Soulchild,"contemporary r&b,neo soul,new jack swing,r&b,urban contemporary",1110832
5w2xbgzp4LNrCqUdKn6rlC,Gemine,background music,769
5bp3KSMBNtOvTW6OvrnwpO,Lisa Grace,"",128
1y7XnZ7jxpZXKQAvez1bYf,Abadi Al Johar,oud,271100
2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,"dance pop,new wave pop,permanent wave,soft rock",2397409
3tzacGOmngxUV8W8lU9h3Q,La Delio Valdez,"argentine rock,cumbia",317051
6znLUPGYNDVG3VoMH5UXUU,Billy Black,"kenyan alternative,kenyan r&b",2445
7f0OLhGgBMX9fUjm1dcPip,Alice Merton,"",338157
13bDjug9N0pyv3ZUINjkDV,Bausa,german hip hop,1046723
3lDjq6pzHn0pxLMw5gYgr0,Bansuri Tribe,"",159
5mo25h1sQIVjZ4gIgIK2Lm,Lucas Vendrai,background piano,486
25eoowiv7avebKZvqc7knq,Emmanuelle Rimbaud,"",611
1hcdI2N1023RvSwLzTtdsp,Natalia Lafourcade,"cantautora mexicana,latin alternative,latin pop,mexican pop,rock en espanol,veracruz indie",4119912
7IU3IM27vQRYGiBvEkyhti,Slow World,"",1649
6LTJa6nvQBaceF1oNiTi7r,Prajot D'Sa,"",2
61XTODbHm8u4mMws36C1IG,Mila Harper,sleep,448
1dy5WNgIKQU6ezkpZs4y8z,ROLE MODEL,"alt z,bedroom pop,pov: indie",404113
3ydwrOmRBy5TtHpTDaauOQ,Jack and the Weatherman,dutch pop,27398
4DtUsfaVQBhypuwYmobdSm,RIMON,"alternative r&b,dutch r&b",158001
5RNoC3G0ieH76JREK3TZI5,Fahad Al Aref,khaliji,11652
7eLcDZDYHXZCebtQmVFL25,Aitana,"latin talent show,spanish pop",2720068
08Fba5XNvK4sXAbH68DYPf,Max Brodie,"",3309
6PQLGYWDUljiFCQlltL4Cw,95ANTNY,ghanaian alternative,1148
6cG2racndnT8Xeb4HvR5Pa,C.J. Wilkins,background piano,295
5mdTuNl23tON1WlsVbvD18,Sound Quelle,progressive trance house,15441
6HSDx33y4kIdNiHYqvUuRT,Siavash Valipour,"",108
4fxd5Ee7UefO4CUXgwJ7IP,Giveon,r&b,3102798
0vSNFAo2h20zd3HOBcM8BX,Kenn Colt,belgian edm,13519
0tbeZu9lv8YEKSQ9tZSslu,Amber Mark,"alternative r&b,indie soul,nyc pop",393993
4ocVQVhOCz7s01n7K6xmrq,Ahmad Zmaili,"",13
6WFDpw4u23uSpon4BHvFRn,Cat Burns,uk pop,266747
6UDhlW8uEVBBrqHS3RrKuv,Casper,"german alternative rap,german pop",616760
27ze6hCgfr3HcDZAHY60pg,Låpsley,"electropop,gauze pop",227785
3mUUUQDWnVlttF1yERxmPQ,Muhab,egyptian trap,336518
2rTo8KIkBTFjQS7VvaKYQ4,W&W,"big room,dutch house,dutch trance,edm,electro house,pop dance,progressive electro house,progressive house",824180
0iFq8SzyZaaQ2Fn6CLDxqW,Clueso,"german pop,german singer-songwriter",528471
4owtjBwXE8zpOk4ihtCXpK,Astèr Fekre,"",2412
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"art pop,electropop,pop",84618723
6qgNjbWXJ9mbqKwznBLj5B,Teezee,"alte,nigerian pop",4935
5TYxZTjIPqKM8K8NuP9woO,C. Tangana,urbano espanol,2508527
6MvRVq0CtpQQlwnIiszV8F,Magic System,"afropop,french pop,zouglou",232571
3v6Ji4uoWtKRkhuDUaxi9n,Dynoro,edm,258715
2OqQqarMSRGZCavcgkQVrY,Cornlie Sourd,"",72
3W9UldYu0xJcaOAw2SUTDI,Panama,"australian indie,indietronica,nu disco,shimmer pop",115647
17Er6xJra2kgaAXDYxm4R4,Khalid Abdulrahman,"",792
1qalElRe3QyFhucbpFX9On,Jan Kubec,"",201
6riCYP1IMxMHrg4bEyOGpD,Romaine LaGrande,"background music,background piano",675
6X9fOKgbMi7PCa7ZuB7ktE,Davignon,"",1090
03V846UE00DEjP9OaGvjKM,ZIAD ZAZA,"",162245
77IW5ZK1smDQYYKDCQugXh,Suzan & Freek,dutch pop,499330
2ST5XwWB4uXGKk2NXP8DUI,Los Cafres,"argentine reggae,argentine rock,latin alternative,latin rock,rock en espanol,ska argentino",1357260
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,pop,11091626
544JiY0RNPRFaxnkLS3cFL,Charbel Rouhana,"arab folk,arabic jazz,oud",24898
4sSSkVtrCTzENCgm2vokiY,Roots Manuva,"trip hop,uk hip hop",148630
3RGLhK1IP9jnYFH4BRFJBS,The Clash,"alternative rock,permanent wave,punk,rock",2567520
5SHxzwjek1Pipl1Yk11UHv,Tom Grennan,uk pop,482249
6fOMl44jA4Sp5b9PpYCkzz,NF,"hip hop,pop rap",8829275
64wQLdtq3qw5sCdJlK4CwY,Embertone,"",59
2oX42qP5ineK3hrhBECLmj,Andy Grammer,"neo mellow,post-teen pop",1166638
0aap0g0NB08EJrS6FMDrdB,Glitter Party,"",5508
5zXzDGnSdx0XqjZzuKNNYx,Jake Slumber,"",64
7M75Am5m6J934JSviUOGz0,Rubén Albarrán,merida indie,6393
4FOaoaFSozNtPQFy8O8t48,Algy Lacey,background music,228
4I7D65YMlr6ZxVEGPb7q2K,Johannes Oerding,"german pop,german pop rock",662797
0mREKS2VJxhULYPnh3C8s2,Sandhill,"",576
2WoVwexZuODvclzULjPQtm,Sampha,"alternative r&b,indie soul",630852
3WTWOrIS77vY3hkCFqTyIw,Howling,"",77203
03r4iKL2g2442PT9n2UKsx,Beastie Boys,"alternative rock,east coast hip hop,golden age hip hop,hip hop,old school hip hop,rap,rap rock,rock",2593764
3Isy6kedDrgPYoTS1dazA9,Sean Paul,"dance pop,dancehall,pop,pop rap",4452494
6T4sT6axXOoIXP4cpaQtNk,Lemongrass,"chill lounge,electro jazz,nu jazz",38814
5Kupo3eu25cR6dIkrmGof6,Shilole,"bongo flava,tanzanian pop",356
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"piano rock,pop",16079312
3U92xEbJZRc7MDmXXCXiBy,Sanyo Green,"",30
1qUjOF5fzrpoNycD36b2jZ,Nate Ruess,modern rock,227947
2alZWWB8btL8F9NCeoR1Xn,Maha Ftouni,"",39160
3VwKSHAfgzV1DOHV0aANCI,TOKiMONSTA,"chillwave,electra,indietronica,instrumental hip hop,wonky",298541
6ztKrKekC3nb3nCBoy9HUt,ENNIO,"",56911
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,"dutch edm,edm,pop,pop dance,progressive house",15854580
1e3Yx1PLC5EP8lz0OFOHda,Meghdeep Bose,"",845
6W8rk6H6C3Mcj0lALuLVg1,Robert Grace,singer-songwriter pop,155629
50co4Is1HCEo8bhOyUWKpn,Young Thug,"atl hip hop,atl trap,gangster rap,melodic rap,rap,trap",8738773
62U6nJKR1V8QOspXUzWle3,Haller,german pop,23695
5AOB5inMqu92bUZuE6q9L7,Hearth Mason,background piano,105
5w3u2cHM1H7URZVsLiCxqi,antonius,"",2094
0YpSO5vQhOKSI0ZEyhRRCj,Nicolas Fuentes,"",714
3YcBF2ttyueytpXtEzn1Za,Incubus,"alternative metal,alternative rock,funk metal,funk rock,nu metal,post-grunge,rock",3108601
5Xj1fqlAVsgyiKy5K4hy1d,Tascenda,sleep,101
4IVAbR2w4JJNJDDRFP3E83,6LACK,"atl hip hop,melodic rap,r&b,rap,trap",4397351
61PUjJm9JH5ck3LxD6RypE,Enny-Mae,"",1419
1AIZ3YGySP9lkL7BulRkA0,Kanta Khatri,"",375
2mC93i8OOfK2jpFERbVv8B,Joezi,"",4442
3a8PdRbZ7j6TigKKUukGqv,Liset Alea,"",3048
4tRSX1e4hJYjMNdl1TkINg,Schiller,german techno,129740
7eFAN4BO0YmRqbaEZ1oRsv,Cindy Sanyu,ugandan pop,31084
0vn7UBvSQECKJm2817Yf1P,James Taylor,"classic rock,folk,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock",2419263
1ieloBuwzXdMn9VPOufDvB,Donia Samir Ghanem,"arab pop,shaabi",472015
0b4CwcngfsLbUi3lNZ1WRf,ZIWA,"",346
401y2oVJbv5VrskZIMGZm9,Øbed,ghanaian alternative,300
0W498bDDNlJIrYMKXdpLHA,Roberta Flack,"adult standards,disco,quiet storm,soft rock,soul,vocal jazz",912308
2RTUTCvo6onsAnheUk3aL9,3 Doors Down,"alternative metal,nu metal,post-grunge,rock",4177751
0P9fjhNfuSTdiwuEo1MxqI,Bozart,"",531
16FXG6RNdKhKWL12WRvBZy,Nima Noi,"",56
0rsshRiKbaGqpYNI0jYNIX,Martin Rapide,background piano,581
5lVNSw2GPci8kebrAQpZqU,Eli Brown,"house,tech house,uk dance",76853
5H4yInM5zmHqpKIoMNAx4r,Central Cee,melodic drill,3747382
6LqNN22kT3074XbTVUrhzX,Kesha,"dance pop,pop",7624087
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,9161298
1OsScwbafPILoudcWEWHnZ,Lotus Vega,"",49
03X2rnTnfrpid7yLZfUSGn,Joya Mooi,"afro r&b,dutch r&b,indie r&b",11444
25THA9HUHoxpCT4LBp7UsZ,Vicentico,"argentine rock,latin alternative,latin rock,rock en espanol",1570484
61dB4bXX3NDinvPlTy0v2P,Udda Jnhale,"",15
0fs9otT9TtwXUOcFXZomZY,Caiiro,"afro house,south african house",124146
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,"art rock,classic rock,glam rock,permanent wave,rock",9714281
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",8555981
0Yh3qH3YP5YPSK9o1emQLC,Solar Wash,sleep,32
4IlwiL1INGzXlZLcXM5dRI,Martis,"",650
6YWZXgJnIkhmLN7GYX3sF4,Ara Amar,"",310
5KfatZQz2qU0zfnk3rU8mE,Conah Bouvet,"",36
1xU878Z1QtBldR7ru9owdU,Phoenix,"alternative dance,indie rock,modern rock,new rave,rock independant francais",1872027
0wYjAAeaDXrNnxy3qs0xQj,For the Good of All,"",2058
7nSWA1659h0Vb1EyjJdSFV,TootArd,"arab alternative,arab groove,palestinian pop,syrian pop",36384
4RnKYAfktqnvcbjkbQC7Fm,Ismail Tuncbilek,"",7162
5wk7sY8GIg5ihSI09EbWeS,Freak Slug,"chill dream pop,lo-fi indie",27576
0PavAVTZWBEpaj4iJdKCyj,Sunday Scaries,"",12036
1Mpk8lMyFVI8UOe4MivsJJ,Liquid Spirits,"",2834
2h1ioVI51vRKxXyhrCs6et,M.Ali,"",0
1GKIlPFdcewHtpDVCQ8zmJ,Brray,"reggaeton,reggaeton flow,trap latino,urbano latino",290657
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,dance pop,9513112
2G6geUYzXyqHJpAZ7nVFYX,Aubrey Marcus,"",1036
68rxFd814z29ByrpJtXcNp,Basel Rajoub,"arab folk,turkish instrumental",1814
5Qw1WWcsIIqAqTUFSmteCi,خالد الملا,"",1611
0geGEoVXjWIz38cw8JcqVP,Baby B3ns,german hyperpop,16116
4CflzQprp6nZxKiv0t78tH,Mohamed Ramadan,"egyptian pop,mahraganat",1307006
5uOaNXrr4qGx9YXbo9HaUl,AWEN,afro house,4822
5G36eoF6O2hTwz3mNc6uvA,Laime,"alte,nigerian pop",5709
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,"folk-pop,modern rock,stomp and holler",5201240
4JG781pl96pL2h0AoERgOA,Keyon Harrold,"indie jazz,jazz trumpet",12965
56Qz2XwGj7FxnNKrfkWjnb,FAST BOY,pop dance,10697
4Ooe7DB6fuhAtdr6tXVJfT,Sôfur,"",140
6g0Wah2YFtb1rFgKhUktlo,Raphael Saadiq,"funk,neo soul,soul",544130
2H4ze5jHwZFDYvim8YjhbP,Doublesix,"",1880
7dS19zpb3TVFJCjiedH4oM,Elise Lindahl,background piano,203
3AaXIAk5OkIRmHnoEP4XmP,Maandy,kenyan hip hop,12655
1tqEUIzDhdbZW3EC7Cz97W,Silbo Gomera,"",16
7dJCdUO0l0K2WXzrzjYpmC,Caity Baser,uk pop,75505
4YtWA8Xtf6Qj764Q1xGfEx,Haldur,"",137
67hb7towEyKvt5Z8Bx306c,Empire of the Sun,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",1317320
4J75uik8WDEqMyN1SaZpoO,Carlton Rimor,"",38
4UWWa5dKgTLAx8mv6Ju6X1,venbee,"",56080
5ygdLFNJNX7nuQbZKb26lS,Lamu,"ugandan hip hop,ugandan pop",518
0SnyKkoyBaB2fG8IJH4xmU,Los Piojos,argentine rock,1163457
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"dance pop,pop",50193468
1eucLGnPT27tdEh6MU29wp,Marsh,progressive house,52638
6sZVV2BKsU8SF4x9Bj9Ypa,Jon Stefans,"",34
3OswQADkQvdWSqFtNH2YqQ,Santana Ruiz,"",4
41g2nSmocqVLuYnmndxefu,Ahmed Kamel,egyptian pop,1360465
7riQPkkGZBnTh9ve5qIhYo,Mareux,dark synthpop,245174
4sD9znwiVFx9cgRPZ42aQ1,Sinéad O'Connor,"lilith,new wave pop,singer-songwriter",1098537
0G7A5LzQAs2egiQl7hO5tV,Virus,"argentine rock,post-punk argentina,rock nacional",306914
2EwH8s2tM7Oxp45dIW6oNQ,Rawan Bin Hussain,"",8614
2gsggkzM5R49q6jpPvazou,Jessie J,"dance pop,pop",11516128
1zmozsuAfLwrawutG7x9VA,Girlhood,british soul,8059
6sm3nTKVNrdKN3iAo73oda,DJ Totti,"egyptian hip hop,egyptian trap",221688
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,"edm,german dance,pop dance,tropical house",1296031
3Apb2lGmGJaBmr0TTBJvIZ,Rusherking,"trap argentino,trap triste",1313377
2zhossaaVN2pXg5p8o101X,Bien,"kenyan pop,kenyan r&b",96868
2R1yoDsSddlxGn9DmAtJTj,Bader AlShuaibi,"gulf hip hop,khaliji",85866
3tVQdUvClmAT7URs9V3rsp,Wizkid,"afrobeats,afropop,azonto,azontobeats,nigerian hip hop,nigerian pop",4138390
3UYi1C1wbSZq4OXbaTdMZD,Dalia,khaliji,147350
5aL7sOIxn0GV0JoFGdONT6,Silver Maple,focus,10524
