country_code,playlist_name,playlist_description,playlist_id,playlist_url,playlist_owner,track_api,tracks_total
AD,Rain Sounds,Simply rain ,37i9dQZF1DX8ymr6UES7vc,https://open.spotify.com/playlist/37i9dQZF1DX8ymr6UES7vc,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8ymr6UES7vc/tracks,293
AD,Dark & Stormy,"Beautifully dark, dramatic tracks.",37i9dQZF1DX2pSTOxoPbx9,https://open.spotify.com/playlist/37i9dQZF1DX2pSTOxoPbx9,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX2pSTOxoPbx9/tracks,100
AD,90s Love Songs,"Tight Roll your jeans, break out the CK1, and set the mood...",37i9dQZF1DWXqpDKK4ed9O,https://open.spotify.com/playlist/37i9dQZF1DWXqpDKK4ed9O,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWXqpDKK4ed9O/tracks,50
AD,Sleep,Gentle Ambient piano to help you fall asleep. ,37i9dQZF1DWZd79rJ6a7lp,https://open.spotify.com/playlist/37i9dQZF1DWZd79rJ6a7lp,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWZd79rJ6a7lp/tracks,235
AD,Heart Beats,"<a href=""spotify:genre:edm_dance"">Dance music</a> for the heart <3",37i9dQZF1DWSRc3WJklgBs,https://open.spotify.com/playlist/37i9dQZF1DWSRc3WJklgBs,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWSRc3WJklgBs/tracks,230
AD,Peaceful Piano,"Peaceful piano to help you slow down, breathe, and relax. ",37i9dQZF1DX4sWSpwq3LiO,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX4sWSpwq3LiO/tracks,299
AD,Deep Sleep,"Soothing, minimalist ambient for deep sleep.",37i9dQZF1DWYcDQ1hSjOpY,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWYcDQ1hSjOpY/tracks,328
AD,Bedroom Pop,Dreamy jams from the best bedroom producers. Cover: Clairo,37i9dQZF1DXcxvFzl58uP7,https://open.spotify.com/playlist/37i9dQZF1DXcxvFzl58uP7,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXcxvFzl58uP7/tracks,100
AD,Jazz Rap,Laid back cratedigger hip-hop from around the world.,37i9dQZF1DX8Kgdykz6OKj,https://open.spotify.com/playlist/37i9dQZF1DX8Kgdykz6OKj,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8Kgdykz6OKj/tracks,100
AD,Soft Rock,"It's like rock, but softer. Cover: Billy Joel",37i9dQZF1DX6xOPeSOGone,https://open.spotify.com/playlist/37i9dQZF1DX6xOPeSOGone,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX6xOPeSOGone/tracks,75
AD,Classical Sleep,Drift off to these peaceful classical melodies.,37i9dQZF1DX8Sz1gsYZdwj,https://open.spotify.com/playlist/37i9dQZF1DX8Sz1gsYZdwj,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8Sz1gsYZdwj/tracks,69
AE,New Music Friday Gulf,Worldwide weekly releases curated for the Gulf ! Cover: Assala Nassri & Majid Almohandis,37i9dQZF1DX51I48C1U653,https://open.spotify.com/playlist/37i9dQZF1DX51I48C1U653,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX51I48C1U653/tracks,58
AE,Dreamy Vibes,Hypnotic bliss.,37i9dQZF1DWSiZVO2J6WeI,https://open.spotify.com/playlist/37i9dQZF1DWSiZVO2J6WeI,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWSiZVO2J6WeI/tracks,150
AE,Ballads International,"A collection of the world's best emotional songs. Cover: <a href=""https://open.spotify.com/artist/75opyvDai90a20RL9VSa7D?si=X4txR82FSGuMTgat6fyXQw&dl_branch=1"">Djouher</a>",37i9dQZF1DXaFm6IhSHlyi,https://open.spotify.com/playlist/37i9dQZF1DXaFm6IhSHlyi,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXaFm6IhSHlyi/tracks,150
AE,Sleep,Gentle Ambient piano to help you fall asleep. ,37i9dQZF1DWZd79rJ6a7lp,https://open.spotify.com/playlist/37i9dQZF1DWZd79rJ6a7lp,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWZd79rJ6a7lp/tracks,235
AE,Chill Tracks,"Softer kinda <a href=""spotify:genre:edm_dance"">dance</a>.",37i9dQZF1DX6VdMW310YC7,https://open.spotify.com/playlist/37i9dQZF1DX6VdMW310YC7,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX6VdMW310YC7/tracks,100
AE,Deep Sleep,"Soothing, minimalist ambient for deep sleep.",37i9dQZF1DWYcDQ1hSjOpY,https://open.spotify.com/playlist/37i9dQZF1DWYcDQ1hSjOpY,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWYcDQ1hSjOpY/tracks,328
AE,طرب خليجي,"مجموعة من أروع الأغاني الخليجية الطربية القديمة والجديدة! غلاف: خالد عبد الرحمن
",37i9dQZF1DX5lckay3OqOG,https://open.spotify.com/playlist/37i9dQZF1DX5lckay3OqOG,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX5lckay3OqOG/tracks,41
AE,Peaceful Piano,"Peaceful piano to help you slow down, breathe, and relax. ",37i9dQZF1DX4sWSpwq3LiO,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX4sWSpwq3LiO/tracks,299
AE,Hits خليجي,"اكتشفوا أفضل الاغاني الخليجية 
الغلاف: اصالة و ماجد المهندس ",37i9dQZF1DWU486KSiznWZ,https://open.spotify.com/playlist/37i9dQZF1DWU486KSiznWZ,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWU486KSiznWZ/tracks,40
AE,ثروباك," مختارات من أجمل الأغاني الخليجية القديمة. الغلاف: عبدالمجيد عبدالله 

",37i9dQZF1DXaEUbeZJOstv,https://open.spotify.com/playlist/37i9dQZF1DXaEUbeZJOstv,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXaEUbeZJOstv/tracks,60
AE,خليجي حزين,.اجمل الاغاني الخليجية الحزينة,37i9dQZF1DXa7JWqw8BIJc,https://open.spotify.com/playlist/37i9dQZF1DXa7JWqw8BIJc,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXa7JWqw8BIJc/tracks,58
AE,ساعة الفراق,"!لكل قلب مكسور؟ هذه البلاي ليست مناسبة لك 
",37i9dQZF1DX2siSxlNkZrf,https://open.spotify.com/playlist/37i9dQZF1DX2siSxlNkZrf,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX2siSxlNkZrf/tracks,50
AE,Yalla ,"The biggest Arabic hits all in one place. Cover:  <a href=""https://open.spotify.com/artist/6bb9VI1PpPTEmdgcgjTppX?si=CgnUHgQ_QeWSlQyEvVLTog"">Mohamed Hamaki</a>

",37i9dQZF1DX5cO1uP1XC1g,https://open.spotify.com/playlist/37i9dQZF1DX5cO1uP1XC1g,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX5cO1uP1XC1g/tracks,40
AE,روقان,"فايب ومتعة وأغاني! 😌🎶 كوفر:  <a href=""https://open.spotify.com/artist/2PM82jOCB674w4BL08zFVS?si=bhhYDaJ2Ro-WXJcv9PCxvg""> مُسلِم </a>",37i9dQZF1DWYHBENPjyDpc,https://open.spotify.com/playlist/37i9dQZF1DWYHBENPjyDpc,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWYHBENPjyDpc/tracks,70
AE,التوب," أفضل الأغاني المصرية من قلب مصر إلى العالم🔥🔝. الغلاف:<a href=""https://open.spotify.com/artist/2N72bJ8IYB4KZmKmxz5Xkk?si=1zeHUrwPSTui0vbKualgog""> حمزه نمره </a>",37i9dQZF1DXd3AhRYJnfcl,https://open.spotify.com/playlist/37i9dQZF1DXd3AhRYJnfcl,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXd3AhRYJnfcl/tracks,50
AE,Raï Hits,Les meilleurs tubes Raï du moment que vous entendez partout. Cover: Cheb Djalil,37i9dQZF1DXb7WmotStdsj,https://open.spotify.com/playlist/37i9dQZF1DXb7WmotStdsj,Spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXb7WmotStdsj/tracks,60
